SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,LIT_RA,LIT_DEC,DISTMOD
 J0001+0652  ,   0.252184993 ,   6.883148170 , ULAS J000100.45+065259.6  , 2016A&A...589A..49S ,  2745484004891661056 ,   0.04 ,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L0  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,            -99999.  ,     14.831 ,      0.036 ,     14.031 ,      0.053 ,     13.548 ,      0.043 ,     13.332 ,      0.024 ,     13.017 ,      0.031 ,     12.262 ,      0.454 ,     21.419 , -99999.000 ,     21.490 ,      0.038 ,     18.972 ,      0.007 ,     17.564 ,      0.005 ,     16.611 ,      0.006 ,     19.507 ,      0.058 ,      296.8 ,     0.9 ,     21.535 ,      2.706 ,       33.6 ,     4.2 ,     17.836 ,      0.224 ,      589.2 ,     7.4 ,     19.500 ,    20.73 ,  0.54 ,   102.92 ,  0.96 ,   -28.64 ,  0.44 ,   0.252168990 ,   6.883151700 ,   -3.42
 J0001+1535  ,   0.301328494 ,  15.592454509 ,   2MASS 00011217+1535355  , 2004AJ....127.3553K ,  2772182900286956160 ,   0.18 ,            ,                     ,       ...  ,                ...  ,        L4  , 2004AJ....127.3553K ,     L5.5p  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,                ...  ,     15.522 ,      0.062 ,     14.505 ,      0.053 ,     13.710 ,      0.044 ,     12.965 ,      0.024 ,     12.539 ,      0.024 ,     11.672 ,      0.237 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.369 ,      0.011 ,     18.850 ,      0.018 ,     17.814 ,      0.011 ,     20.798 ,      0.254 ,       90.4 ,     1.1 ,     21.450 ,      6.560 ,       36.3 ,    11.1 ,     19.090 ,      1.213 ,      185.7 ,    11.8 ,     20.479 ,    31.63 ,  1.80 ,   143.49 ,  4.47 ,  -174.72 ,  2.40 ,   0.300746110 ,  15.593199000 ,   -2.50
 J0006-1720  ,   1.585252334 , -17.347412802 ,   2MASSI J0006205-172051  , 2003A&A...403..929K ,  2414607592787544320 ,   0.03 ,            ,                     ,      L2.5  , 2003A&A...403..929K ,        L3  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.662 ,      0.065 ,     14.646 ,      0.059 ,     14.010 ,      0.052 ,     13.472 ,      0.026 ,     13.179 ,      0.028 ,     12.334 ,      0.410 ,     24.159 , -99999.000 ,     21.796 ,      0.180 ,     20.259 ,      0.009 ,     18.832 ,      0.014 ,     17.803 ,      0.014 ,     20.731 ,      0.260 ,       96.1 ,     1.2 ,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,     20.616 ,    25.18 ,  1.88 ,   -32.72 ,  3.27 ,    10.38 ,  2.00 ,   1.585253600 , -17.347415000 ,   -2.99
 J0006-0852  ,   1.704582613 ,  -8.880870625 ,    2MASS 00064916-0852457 , 2008AJ....135..785W ,  2429054454021227648 ,   0.18 ,       UR;  , 2012APJ...757..110B ,        M9  , 2008AJ....135..785W ,       M8:  , 2012APJ...757..110B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.143 ,      0.030 ,     13.551 ,      0.028 ,     13.132 ,      0.039 ,     12.762 ,      0.023 ,     12.353 ,      0.027 ,     11.637 ,      0.250 ,     23.010 ,      0.200 ,     20.889 ,      0.025 ,     18.241 ,      0.003 ,     16.768 ,      0.005 ,     15.885 ,      0.028 ,     18.705 ,      0.037 ,      621.3 ,     1.2 ,     20.503 ,      5.697 ,       86.9 ,    24.2 ,     17.057 ,      0.239 ,     1207.5 ,    16.9 ,     18.876 ,    34.07 ,  0.39 ,   -57.33 ,  0.72 ,  -321.09 ,  0.40 ,   1.704590900 ,  -8.880826000 ,   -2.34
 J0006-6436  ,   1.742245558 , -64.615330945 ,   2MASS 00065794-6436542  , 2008AJ....136.1290R ,  4900323420040865792 ,   0.04 ,       MG;  , 2014APJ...783..121G ,        L0  , 2011APJ...727..103T ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.385 ,      0.026 ,     12.664 ,      0.030 ,     12.169 ,      0.033 ,     11.741 ,      0.022 ,     11.421 ,      0.021 ,     11.063 ,      0.143 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.207 ,      0.044 ,      983.0 ,     2.4 ,     21.259 ,      3.995 ,       43.4 ,     8.1 ,     16.517 ,      0.107 ,     1986.3 ,    12.9 ,     18.166 ,    23.26 ,  0.30 ,    86.92 ,  0.46 ,   -61.66 ,  0.48 ,   1.742217600 , -64.615322000 ,   -3.17
 J0010-2031  ,   2.500965178 , -20.520035398 ,   2MASS 00100009-2031122  , 2007AJ....133..439C ,  2364740071837660672 ,   0.06 ,            ,                     ,        L0  , 2007AJ....133..439C ,       M9:  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.134 ,      0.024 ,     13.368 ,      0.030 ,     12.882 ,      0.030 ,     12.544 ,      0.024 ,     12.281 ,      0.024 ,     11.985 ,      0.305 , -99999.000 , -99999.000 ,     20.825 ,      0.029 ,     18.443 ,      0.006 ,     16.971 ,      0.004 ,     15.986 ,      0.010 ,     18.861 ,      0.053 ,      538.0 ,     1.5 ,     21.583 ,      3.255 ,       32.2 ,     4.8 ,     17.227 ,      0.183 ,     1032.5 ,    11.0 ,     18.869 ,    35.22 ,  0.39 ,   115.49 ,  0.51 ,     6.15 ,  0.42 ,   2.500396000 , -20.520073000 ,   -2.27
 J0013-2235  ,   3.491106518 , -22.589263482 ,   2MASSI J0013578-223520  , 2003A&A...403..929K ,  2361294885296927488 ,   0.20 ,            ,                     ,        L4  , 2003A&A...403..929K ,      L5.5  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.775 ,      0.065 ,     14.595 ,      0.062 ,     14.036 ,      0.051 ,     13.318 ,      0.025 ,     13.036 ,      0.029 ,     12.100 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.628 ,      0.025 ,     18.836 ,      0.031 ,     17.795 ,      0.021 ,     20.883 ,      0.237 ,       83.6 ,     0.9 ,     21.180 ,      7.836 ,       46.6 ,    17.2 ,     19.156 ,      0.787 ,      174.7 ,     7.2 ,     20.852 ,    36.81 ,  1.96 ,    67.64 ,  2.25 ,   -67.35 ,  2.85 ,   3.490819900 , -22.588915000 ,   -2.17
 J0014-4844  ,   3.738064194 , -48.736816623 ,   2MASS 00145575-4844171  , 2008APJ...689.1295K ,  4977142934516994176 ,   0.47 ,            ,                     ,    L2.5 p  , 2008APJ...689.1295K ,     L2.5:  , 2013AJ....146..161M ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.050 ,      0.035 ,     13.107 ,      0.036 ,     12.723 ,      0.030 ,     12.267 ,      0.023 ,     11.987 ,      0.022 ,     11.425 ,      0.157 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.068 ,      0.035 ,      444.6 ,     0.8 ,     21.418 ,      2.698 ,       37.4 ,     4.7 ,     17.362 ,      0.147 ,      912.3 ,     7.8 ,     19.113 ,    50.11 ,  0.39 ,   870.73 ,  0.28 ,   281.47 ,  0.43 ,   3.732314100 , -48.738098000 ,   -1.50
 J0015+3516  ,   3.936848081 ,  35.266292879 ,   2MASSW J0015447+351603  , 2000AJ....120..447K ,  2876239130257160960 ,   0.12 ,            ,                     ,        L2  , 2000AJ....120..447K ,        L1  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.878 ,      0.031 ,     12.892 ,      0.036 ,     12.264 ,      0.024 ,     11.794 ,      0.023 ,     11.538 ,      0.021 ,     10.949 ,      0.100 , -99999.000 , -99999.000 ,     20.377 ,      0.025 ,     18.183 ,      0.008 ,     16.813 ,      0.006 ,     15.883 ,      0.005 ,     18.682 ,      0.044 ,      634.8 ,     1.5 ,     21.590 ,      2.521 ,       32.0 ,     3.7 ,     17.075 ,      0.135 ,     1187.5 ,     9.4 ,     18.593 ,    58.61 ,  0.37 ,    55.17 ,  0.45 ,  -257.10 ,  0.28 ,   3.936525100 ,  35.267399000 ,   -1.16
 J0016-1039  ,   4.156241659 , -10.653845087 ,   2MASS 00163762-1039106  , 2008AJ....135..785W ,  2428008410441149824 ,   0.12 ,            ,                     ,        L0  , 2008AJ....135..785W ,        M9  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.455 ,      0.052 ,     14.780 ,      0.069 ,     14.533 ,      0.096 ,     14.136 ,      0.028 ,     13.823 ,      0.041 ,     12.354 ,      0.443 ,     25.500 ,      0.710 ,     22.640 ,      0.240 ,     19.705 ,      0.022 ,     18.230 ,      0.009 ,     17.344 ,      0.011 ,     20.220 ,      0.143 ,      153.9 ,     1.1 ,     21.834 ,      4.233 ,       25.5 ,     4.9 ,     18.556 ,      0.437 ,      303.7 ,     7.2 ,     20.443 ,    15.89 ,  0.78 ,  -119.99 ,  1.42 ,  -191.89 ,  0.83 ,   4.156258200 , -10.653819000 ,   -3.99
