,DEC,DISCOVERYNAME,DISCOVERYREFNAME,DISTARCSEC,GAIAGEST,GUNNG,GUNNGERR,GUNNI,GUNNIERR,GUNNR,GUNNRERR,GUNNY,GUNNYERR,GUNNZ,GUNNZERR,LIT_PARALLAX,LIT_PARALLAXREFNAME,LIT_PARALLAX_ERROR,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,PARALLAX,PARALLAX_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PMDEC,PMDEC_ERROR,PMRA,PMRA_ERROR,RA,SHORTNAME,SOURCE_ID,SPTNIRNAME,SPTNIRREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTPHONAME,SPTPHOREFNAME,TMASSH,TMASSHERR,TMASSJ,TMASSJERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,source_id
1,15.592454509000001,  2MASS 00011217+1535355 ,2004AJ....127.3553K,0.18,20.477999999999998,-99999.0,-99999.0,20.369,0.011000000000000001,-99999.0,-99999.0,17.814,0.011000000000000001,18.85,0.018000000000000002,-99999.0,               ... ,-99999.0,       ...,                ...,31.63,1.8,36.3,11.1,21.451,0.332,90.4,1.1,20.798000000000002,0.013000000000000001,185.7,11.8,19.09,0.069,-174.72,2.4,143.49,4.47,0.301328494, J0001+1535 ,2772182900286956160,       L4 ,2004AJ....127.3553K,      ... ,               ... ,    L5.5p ,2016A&A...589A..49S,14.505,0.053,15.522,0.062,13.71,0.044000000000000004,12.965,0.024,12.539000000000001,0.024,11.672,0.237,204.0
6,-20.520035398,  2MASS 00100009-2031122 ,2007AJ....133..439C,0.06,18.864,-99999.0,-99999.0,18.442999999999998,0.006,20.825,0.028999999999999998,15.985999999999999,0.01,16.971,0.004,-99999.0,               ... ,-99999.0,       ...,                ...,35.22,0.39,32.2,4.8,21.583000000000002,0.16399999999999998,538.0,1.5,18.861,0.003,1032.5,11.0,17.227,0.012,6.15,0.42,115.49,0.51,2.500965178, J0010-2031 ,2364740071837660672,      M9: ,2014ApJ...794..143B,       L0 ,2007AJ....133..439C,      ... ,               ... ,13.368,0.03,14.134,0.024,12.882,0.03,12.544,0.024,12.280999999999999,0.024,11.985,0.305,468.0
10,35.266292879,  2MASSW J0015447+351603 ,2000AJ....120..447K,0.12,18.589000000000002,-99999.0,-99999.0,18.183,0.008,20.377,0.025,15.883,0.005,16.813,0.006,-99999.0,               ... ,-99999.0,       ...,                ...,58.61,0.37,32.0,3.7,21.59,0.127,634.8,1.5,18.682000000000002,0.002,1187.5,9.4,17.075,0.009000000000000001,-257.1,0.28,55.17,0.45,3.9368480810000004, J0015+3516 ,2876239130257160960,       L1 ,2014ApJ...794..143B,       L2 ,2000AJ....120..447K,      ... ,               ... ,12.892000000000001,0.036000000000000004,13.878,0.031,12.264000000000001,0.024,11.794,0.023,11.538,0.021,10.949000000000002,0.1,844.0
12,-40.948233257,  2MASS 00165953-4056541 ,2008ApJ...689.1295K,0.27,20.227,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,27.63,1.2,31.5,6.9,21.604,0.239,108.4,0.9,20.601,0.009000000000000001,208.5,6.9,18.964000000000002,0.036000000000000004,18.19,1.25,212.81,1.27,4.24929032, J0016-4056 ,4995583325059035008,      ... ,               ... ,     L3.5 ,2008ApJ...689.1295K,      ... ,               ... ,14.206,0.048,15.315999999999999,0.061,13.432,0.038,12.828,0.024,12.452,0.022000000000000002,12.795,0.405,143.0
13,-63.938302789,  2MASS 00184613-6356122 ,2008AJ....136.1290R,0.24,20.070999999999998,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,27.31,0.53,32.0,9.6,21.59,0.327,189.8,1.0,19.992,0.006,363.2,8.2,18.361,0.025,-391.94,0.84,332.6,0.83,4.695266909, J0018-6356 ,4900453540369793408,      ... ,               ... ,       L2 ,2008AJ....136.1290R,      ... ,               ... ,14.229000000000001,0.044000000000000004,15.224,0.044000000000000004,13.610999999999999,0.040999999999999995,13.286,0.024,13.020999999999999,0.025,12.489,0.304,841.0
16,-37.410826845,  2MASS 00193927-3724392 ,2010ApJ...710.1142B,0.28,20.332,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,25.27,1.85,19.9,8.1,22.105,0.441,98.8,1.0,20.701999999999998,0.012,198.7,8.7,19.016,0.048,18.45,2.13,161.57,3.5,4.914625414, J0019-3724 ,4998742462483975424,      ... ,               ... ,      L3: ,2010ApJ...710.1142B,      ... ,               ... ,14.47,0.04,15.519,0.06,13.689,0.057999999999999996,13.140999999999998,0.023,12.831,0.024,12.54,0.495,842.0
19,-1.971606058,            BRI0021-0214 ,1991MNRAS.252P..61I,0.08,17.819000000000003,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,80.71,2016AJ....152...24W,0.95,       ...,                ...,79.97,0.22,158.2,7.2,19.852999999999998,0.049,4335.8,4.8,16.596,0.001,8080.7,37.8,14.993,0.005,141.11,0.28,-77.17,0.46,6.102310595, J0024-0158 ,2541756977144595712,     L0.5 ,2014ApJ...794..143B,     M9.5 ,2007AJ....133..439C,      ... ,               ... ,11.084000000000001,0.02,11.992,0.033,10.539000000000001,0.021,10.166,0.024,9.9,0.019,9.412,0.039,722.0
24,-19.454491697,  2MASS 00285545-1927165 ,2008AJ....136.1290R,0.07,18.824,19.788,0.035,18.551,0.006,20.945999999999998,0.031,16.104,0.004,17.078,0.006999999999999999,-99999.0,               ... ,-99999.0,       ...,                ...,25.47,0.36,38.1,6.8,21.398000000000003,0.19399999999999998,478.8,1.2,18.988,0.003,945.1,11.7,17.323,0.013000000000000001,23.08,0.42,109.22,0.5,7.231526647000001, J0028-1927 ,2363496283669200768,     L0.5 ,2014ApJ...794..143B,      L0: ,2008AJ....136.1290R,      ... ,               ... ,13.331,0.03,14.190999999999999,0.028999999999999998,12.845,0.03,12.520999999999999,0.023,12.253,0.024,11.831,0.266,76.0
28,-38.676825243,         SIPS J0031-3840 ,2010A&A...517A..53M,0.23,19.184,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,41.31,0.69,46.5,12.6,21.182,0.293,443.9,1.2,19.07,0.003,883.2,12.3,17.397000000000002,0.015,-31.92,0.62,558.09,0.73,7.833388316000001, J0031-3840 ,4997505546262260096,L2 p(blue),2011ApJS..197...19K,     L2.5 ,2010A&A...517A..53M,      ... ,               ... ,13.399000000000001,0.023,14.100999999999999,0.032,12.924000000000001,0.034,12.418,0.024,12.025,0.022000000000000002,11.556,0.212,1726.0
29,2.315771214,  2MASS 00320509+0219017 ,2008AJ....136.1290R,0.25,18.944000000000003,-99999.0,-99999.0,18.677,0.01,20.94,0.122,16.323,0.009000000000000001,17.308,0.006999999999999999,-99999.0,               ... ,-99999.0,       ...,                ...,41.05,0.45,40.9,5.4,21.322,0.142,400.4,1.2,19.182000000000002,0.003,765.2,7.9,17.552,0.011000000000000001,-326.81,0.61,406.69,1.0,8.022924282, J0032+0219 ,2547532539925750784,       M9 ,2003IAUS..211..197W,     L1.5 ,2008AJ....136.1290R,       L2 ,2016A&A...589A..49S,13.386,0.024,14.324000000000002,0.026000000000000002,12.802,0.032,12.462,0.023,12.222999999999999,0.025,11.965,0.397,1095.0
31,-44.085351391,      EROS-MP J0032-4405 ,1999A&A...351L...5G,0.06,19.311,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,38.4,2012ApJ...752...56F,4.8,      MG; ,2014ApJ...783..121G,28.57,0.49,55.0,11.7,21.0,0.231,230.6,1.0,19.781,0.004,474.5,7.0,18.070999999999998,0.016,-97.43,0.67,127.98,0.56,8.233464391, J0032-4405 ,4980384088633481216, L0 gamma ,2013ApJ...772...79A, L0 gamma ,2009AJ....137.3345C,      ... ,               ... ,13.857000000000001,0.034,14.776,0.035,13.269,0.037000000000000005,12.839,0.024,12.524000000000001,0.024,11.798,0.24600000000000002,594.0
32,-15.358474752000001,  2MASS 00332386-1521309 ,2003AJ....125.3302G,0.11,19.857,-99999.0,-99999.0,19.877,0.038,21.909000000000002,0.10400000000000001,17.48,0.013999999999999999,-99999.0,-99999.0,42.78,2016ApJ...833...96L,1.83,       ...,                ...,43.63,0.93,52.8,14.0,21.046,0.28800000000000003,136.0,1.0,20.355,0.008,274.1,6.8,18.667,0.027000000000000003,23.07,1.37,302.15,1.85,8.350816057000001, J0033-1521 ,2373841073178592512,       L1 ,2013ApJ...772...79A,  L4 beta ,2009AJ....137.3345C,      ... ,               ... ,14.208,0.051,15.286,0.055999999999999994,13.41,0.039,12.819,0.024,12.497,0.025,11.847999999999999,0.31,593.0
35,-58.773223152,  2MASS 00374306-5846229 ,2008AJ....136.1290R,0.07,19.746,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,      MG; ,2014ApJ...783..121G,19.74,0.9,31.4,8.3,21.607,0.287,115.6,0.9,20.531,0.008,246.4,7.2,18.783,0.032,-49.63,1.65,88.98,1.83,9.43014365, J0037-5846 ,4907052431202692096,      ... ,               ... , L0 gamma ,2009AJ....137.3345C,      ... ,               ... ,14.259,0.051,15.374,0.051,13.585,0.045,13.149000000000001,0.025,12.767999999999999,0.025,12.479000000000001,0.41700000000000004,332.0
38,11.702576533,ULAS J004259.29+114209.8 ,2016A&A...589A..49S,0.16,19.511,-99999.0,-99999.0,18.965,0.006,21.684,0.039,16.524,0.008,17.451,0.004,-99999.0,           -99999. ,-99999.0,       ...,                ...,18.62,0.56,22.4,3.8,21.975,0.184,319.9,0.9,19.426,0.003,624.0,9.7,17.774,0.017,-85.71,0.66,86.3,1.4,10.747216977999999, J0042+1142 ,2775496377361648384,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,14.074000000000002,0.043,14.754000000000001,0.038,13.514000000000001,0.027999999999999997,13.252,0.024,12.921,0.027000000000000003,11.873,-99999.0,1810.0
40,16.57888706,             2MUCD 20037 ,2003IAUS..211..197W,0.2,17.906,-99999.0,-99999.0,17.76,0.005,20.015,0.013000000000000001,15.251,0.019,16.254,0.004,65.94,2016ApJ...833...96L,1.33,      MG; ,2014ApJ...783..121G,65.02,0.23,55.4,5.8,20.991999999999997,0.114,1018.6,1.4,18.168,0.002,1943.7,14.5,16.54,0.008,-48.07,0.24,358.92,0.4,11.34084326, J0045+1634 ,2781513733917711616, L2 gamma ,2013ApJ...772...79A,  L2 beta ,2009AJ....137.3345C,      ... ,               ... ,12.059000000000001,0.035,13.059000000000001,0.022000000000000002,11.366,0.021,10.782,0.023,10.398,0.02,9.794,0.051,334.0
43,7.254673179,  2MASS 00464841+0715177 ,2003IAUS..211..197W,0.11,18.596,21.904,0.161,18.506,0.006,21.043000000000003,0.059000000000000004,15.885,0.004,16.897000000000002,0.006999999999999999,-99999.0,               ... ,-99999.0,       ...,                ...,26.62,0.44,30.7,4.7,21.634,0.166,527.5,1.2,18.883,0.002,1056.9,11.4,17.202,0.012,-60.2,0.51,96.8,0.71,11.702157829, J0046+0715 ,2556724418479276416,       M9 ,2003IAUS..211..197W,     L0:: ,2008AJ....136.1290R,    L2.5p ,2016A&A...589A..49S,13.177999999999999,0.035,13.885,0.027999999999999997,12.546,0.026000000000000002,12.091,0.024,11.644,0.022000000000000002,11.286,0.225,102.0
