,SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,LIT_RA,LIT_DEC,DISTMOD
0, J0001+0652  ,0.252184993,6.88314817, ULAS J000100.45+065259.6  , 2016A&A...589A..49S ,2745484004891661056,0.04,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L0  , 2016A&A...589A..49S ,-99999.0,-99999.0,            -99999.  ,14.831,0.036000000000000004,14.030999999999999,0.053,13.548,0.043,13.332,0.024,13.017000000000001,0.031,12.262,0.45399999999999996,21.419,-99999.0,21.49,0.038,18.972,0.006999999999999999,17.564,0.005,16.611,0.006,19.507,0.057999999999999996,296.8,0.9,     21.535 ,      2.706 ,       33.6 ,     4.2 ,     17.836 ,      0.224 ,      589.2 ,     7.4 ,19.5,20.73,0.54,102.92,0.96,-28.64,0.44,0.25216899,6.8831517,-3.42
2, J0006-1720  ,1.585252334,-17.347412802,   2MASSI J0006205-172051  , 2003A&A...403..929K ,2414607592787544320,0.03,            ,                     ,      L2.5  , 2003A&A...403..929K ,        L3  , 2014APJ...794..143B ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,15.662,0.065,14.645999999999999,0.059000000000000004,14.01,0.052000000000000005,13.472000000000001,0.026000000000000002,13.179,0.027999999999999997,12.334000000000001,0.41,24.159000000000002,-99999.0,21.796,0.18,20.259,0.009000000000000001,18.832,0.013999999999999999,17.803,0.013999999999999999,20.730999999999998,0.26,96.1,1.2,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,20.616,25.18,1.88,-32.72,3.27,10.38,2.0,1.5852536,-17.347415,-2.99
3, J0006-0852  ,1.7045826130000001,-8.880870625,    2MASS 00064916-0852457 , 2008AJ....135..785W ,2429054454021227648,0.18,       UR;  , 2012APJ...757..110B ,        M9  , 2008AJ....135..785W ,       M8:  , 2012APJ...757..110B ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,14.142999999999999,0.03,13.550999999999998,0.027999999999999997,13.132,0.039,12.762,0.023,12.353,0.027000000000000003,11.637,0.25,23.01,0.2,20.889,0.025,18.241,0.003,16.768,0.005,15.885,0.027999999999999997,18.705,0.037000000000000005,621.3,1.2,     20.503 ,      5.697 ,       86.9 ,    24.2 ,     17.057 ,      0.239 ,     1207.5 ,    16.9 ,18.875999999999998,34.07,0.39,-57.33,0.72,-321.09,0.4,1.7045909,-8.880826,-2.34
4, J0006-6436  ,1.742245558,-64.615330945,   2MASS 00065794-6436542  , 2008AJ....136.1290R ,4900323420040865792,0.04,       MG;  , 2014APJ...783..121G ,        L0  , 2011APJ...727..103T ,       ...  ,                ...  ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,13.385,0.026000000000000002,12.664000000000001,0.03,12.169,0.033,11.741,0.022000000000000002,11.421,0.021,11.062999999999999,0.14300000000000002,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,18.207,0.044000000000000004,983.0,2.4,     21.259 ,      3.995 ,       43.4 ,     8.1 ,     16.517 ,      0.107 ,     1986.3 ,    12.9 ,18.166,23.26,0.3,86.92,0.46,-61.66,0.48,1.7422176,-64.615322,-3.17
6, J0013-2235  ,3.491106518,-22.589263482,   2MASSI J0013578-223520  , 2003A&A...403..929K ,2361294885296927488,0.2,            ,                     ,        L4  , 2003A&A...403..929K ,      L5.5  , 2014APJ...794..143B ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,15.775,0.065,14.595,0.062,14.036,0.051,13.318,0.025,13.036,0.028999999999999998,12.1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.628,0.025,18.836,0.031,17.795,0.021,20.883000000000003,0.237,83.6,0.9,     21.180 ,      7.836 ,       46.6 ,    17.2 ,     19.156 ,      0.787 ,      174.7 ,     7.2 ,20.851999999999997,36.81,1.96,67.64,2.25,-67.35,2.85,3.4908199,-22.588915,-2.17
7, J0014-4844  ,3.7380641939999997,-48.736816623,   2MASS 00145575-4844171  , 2008APJ...689.1295K ,4977142934516994176,0.47,            ,                     ,    L2.5 p  , 2008APJ...689.1295K ,     L2.5:  , 2013AJ....146..161M ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,14.05,0.035,13.107000000000001,0.036000000000000004,12.722999999999999,0.03,12.267000000000001,0.023,11.987,0.022000000000000002,11.425,0.157,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,19.067999999999998,0.035,444.6,0.8,     21.418 ,      2.698 ,       37.4 ,     4.7 ,     17.362 ,      0.147 ,      912.3 ,     7.8 ,19.113,50.11,0.39,870.73,0.28,281.47,0.43,3.7323141,-48.738098,-1.5
9, J0016-1039  ,4.156241659,-10.653845087,   2MASS 00163762-1039106  , 2008AJ....135..785W ,2428008410441149824,0.12,            ,                     ,        L0  , 2008AJ....135..785W ,        M9  , 2014APJ...794..143B ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,15.455,0.052000000000000005,14.78,0.069,14.533,0.096,14.136,0.027999999999999997,13.823,0.040999999999999995,12.354000000000001,0.44299999999999995,25.5,0.71,22.64,0.24,19.705,0.022000000000000002,18.23,0.009000000000000001,17.344,0.011000000000000001,20.22,0.14300000000000002,153.9,1.1,     21.834 ,      4.233 ,       25.5 ,     4.9 ,     18.556 ,      0.437 ,      303.7 ,     7.2 ,20.442999999999998,15.89,0.78,-119.99,1.42,-191.89,0.83,4.1562582,-10.653819,-3.99
12, J0019+0030  ,4.798400971,0.504712001,   2MASS 00191165+0030176  , 2002AJ....123.3409H ,2545563520758981760,0.06,            ,                     ,        L1  , 2002AJ....123.3409H ,      L0.5  , 2014APJ...794..143B ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,14.921,0.037000000000000005,14.18,0.040999999999999995,13.568,0.034,13.258,0.025,13.01,0.027999999999999997,12.196,0.428,21.822,-99999.0,21.488000000000003,0.07200000000000001,19.336,0.015,17.866,0.004,16.9,0.013000000000000001,19.817,0.062,223.1,0.7,     20.911 ,      6.156 ,       59.7 ,    17.6 ,     18.123 ,      0.291 ,      452.3 ,     7.3 ,19.695999999999998,26.11,0.61,-33.52,1.35,-44.16,0.96,4.7984078,0.50471922,-2.92
13, J0019+4018  ,4.886018648,40.315111479,              NLTT 1011 B  , 2014APJ...792..119D ,380379453539222784,0.11,       VB;  , 2014APJ...792..119D ,       ...  ,                ...  ,        L2  , 2014APJ...792..119D ,       ...  ,                ...  ,-99999.0,-99999.0,                ...  ,15.544,0.059000000000000004,14.927999999999999,0.069,14.318,0.066,13.759,0.024,13.440999999999999,0.028999999999999998,12.870999999999999,0.535,-99999.0,-99999.0,-99999.0,-99999.0,20.185,0.022000000000000002,18.664,0.005,17.632,0.008,20.668000000000003,0.14800000000000002,101.9,0.7,     21.569 ,      3.359 ,       32.6 ,     5.1 ,     18.948 ,      0.600 ,      211.7 ,     6.7 ,20.598000000000003,17.81,1.53,-78.15,1.59,-193.04,0.82,4.8860292,40.315138,-3.75
15, J0021-4244  ,5.276170247,-42.745423869,          Koenigstuhl 1 B  , 2000APJ...538..363B ,4992141475707360640,0.09,       VB;  , 2007APJ...667..520C ,      M9.5  , 2000APJ...538..363B ,       ...  ,                ...  ,       ...  ,                ...  ,39.77,2.1, 2014AJ....147...94D ,13.520999999999999,0.025,12.809000000000001,0.025,12.304,0.025,11.912,0.023,11.607000000000001,0.022000000000000002,11.18,0.105,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,18.355,0.065,858.0,3.0,     20.697 ,      2.975 ,       72.7 ,    10.5 ,     16.672 ,      0.094 ,     1721.2 ,     9.7 ,18.248,38.52,0.54,258.64,0.73,-1.88,0.7,5.2761218,-42.745424,-2.07
